,epsilon,Optimal lbd ,Optimal RSS,Optimal lbd DP1,Optimal RSS DP1,Optimal lbd DP2,Optimal RSS DP2
0,0.001,10,0.2667242209631577,10,0.2667044593108152,1,0.27515562172252944
1,0.0062105263157894745,10,0.2548928759095335,10,0.254896251191653,10,0.2374738013452605
2,0.011421052631578945,100,0.2425144960732309,100,0.2425103865900456,10,0.25034070630882826
3,0.016631578947368417,10,0.2369058882022081,10,0.23688410583066494,1,0.2566522298426555
4,0.021842105263157892,10,0.27280617640039084,10,0.27253622191522603,10,0.2596568538582709
5,0.02705263157894737,10,0.2377057443042539,10,0.2376901414738873,1,0.28378951771160504
6,0.03226315789473684,10,0.2813261153547989,10,0.2812912898028645,10,0.2485222705229385
7,0.03747368421052632,10,0.25411190917246845,10,0.25403652217536243,10,0.2649091696481098
8,0.04268421052631579,10,0.2511752937518159,10,0.25103668293980536,10,0.23936287006323856
9,0.04789473684210526,10,0.25672958828333137,10,0.2566243009919216,10,0.27383419876302684
10,0.05310526315789474,10,0.2269855316484396,10,0.22695953633971525,10,0.2317898664012392
11,0.05831578947368421,1,0.25532519549033617,1,0.2553656176303689,1,0.2475882013843765
12,0.06352631578947368,10,0.2346553625686251,10,0.234670621396392,10,0.2580387356223798
13,0.06873684210526315,10,0.2515274704871702,10,0.25158809765331264,10,0.2469119770430433
14,0.07394736842105264,10,0.25366452834911635,10,0.2538183271279857,10,0.25923611064097873
15,0.07915789473684211,10,0.2489358463519899,10,0.24895542716936625,10,0.2418668705377537
16,0.08436842105263158,10,0.2541332989560561,10,0.2540101813147487,10,0.25850670327680697
17,0.08957894736842105,10,0.2586474042410078,10,0.2586811930802204,10,0.2308606845561184
18,0.09478947368421052,10,0.2564863289089469,10,0.25640076986013777,10,0.2504767005600805
19,0.1,10,0.2616038395821545,10,0.26136471688570817,10,0.2361114924166461
1,0.102,10,0.2573657559527454,10,0.2573824564494456,10,0.2641991876495565
2,0.203,10,0.26376131504756584,10,0.26386585988705363,10,0.27405058713633434
